id,vin,make,model,mileage,year,price,zip code,created date,updated date
100,bcd11fbf-8a4a-4659-89ca-4ac20de089f9,Tristram,Carmencita,95735,1902,590223.64,727,2020-03-02,2020-02-04
101,6f229939-3daa-41ba-8c0f-28a4883d1a02,Bonucci,Alexine,92699,1974,443522.14,247,2020-06-21,2020-01-04
102,06f0d041-e54c-4785-a873-bd1334f7144a,Jillane,Teriann,781,1936,82454.77,255,2020-02-20,2020-05-28
103,746d39f6-97f8-4548-8e5e-d64b004cbc57,Minetta,Heddie,38900,1923,308791.46,722,2020-03-31,2020-04-29
104,9514709d-62e2-4978-af8a-3b4abfb0ccca,Bandeen,Ronna,74833,1901,406661.18,175,2020-05-31,2020-04-21
105,e5fe0386-8197-4e3a-ab09-e70e2620bfc0,Tillford,Cassondra,80979,2005,238326.25,100,2020-05-04,2020-05-04
106,e0cbcca6-06c7-45b3-9236-7ccd80501c3e,Wareing,Georgetta,15959,1915,592974.54,757,2020-01-05,2020-04-22
107,1acddfc7-de8f-4840-957d-84da18ddc34b,Erlandson,Dorice,38520,1988,631152.26,811,2020-05-17,2020-01-20
108,fa884c87-a518-4ea1-b003-56c861f5e832,Cassius,Riannon,12985,1935,60321.19,659,2020-06-11,2020-05-21
109,02b331fd-b251-41b1-a89b-2033355c698a,Malina,Adele,86823,1934,292165.43,902,2020-06-05,2020-06-19
110,2fe71bd4-e9f9-4288-8984-5eb9c6d93a8e,Mata,Amelia,18191,1954,504143.51,33,2020-04-28,2020-01-16
111,bdd664a9-9a8d-4921-93f5-64572d2f211c,Norrie,Demetris,92783,1916,399670.01,971,2020-04-15,2020-05-12
112,31be66d7-4a33-4beb-80df-a0bea0675270,Sothena,Jacquetta,23739,1908,911199.11,66,2020-04-11,2020-01-28
113,43a1f783-5b7c-4d3b-8188-7d9c9f31d214,Tice,Gaylene,50795,1924,409600.29,220,2020-04-04,2020-03-19
114,5f81f46c-a4d0-487d-bfac-73f128494387,Kiersten,Marjie,40071,1962,960568.84,847,2020-01-06,2020-05-30
115,79fa9a6b-ecb4-437c-9048-c24a39d6858f,Isacco,Regina,56809,1913,892303.09,161,2020-02-01,2020-04-06
116,cc11a666-1579-4d91-987b-de0b110b3c18,Byrne,Noelle,31190,1904,723050.4,421,2020-06-02,2020-06-03
117,1b9cbfeb-7dd9-426f-9ee0-e80137e08bc0,Daveta,Cordi,69718,1918,100998.87,503,2020-01-10,2020-02-21
118,49a25a0e-8846-4fdb-bc4e-02b2603bbef1,Oscar,Fredericka,76722,1910,378437.41,960,2020-04-01,2020-02-02
119,daf2a183-80da-46e0-86a8-7382b3d8e1a3,Kaete,Karena,80189,2006,17077.27,368,2020-04-08,2020-05-08
120,16afef3f-77fb-4302-8b38-574b54e3f1a4,Orlene,Henriette,5219,1961,585323.39,40,2020-04-09,2020-05-04
121,d7cce717-10e1-4a92-b809-07d86d756e6a,Callista,Alia,76638,1969,119926.3,36,2020-04-29,2020-04-30
122,ec115ae0-22fa-4775-b6e0-117a472003ed,Hertzfeld,Melodie,68925,1952,651105.97,396,2020-05-09,2020-06-20
123,4ffb6fd2-b8ce-4546-b0f6-56eb23e3c5d3,Schroth,Pierette,62760,1909,514448.12,150,2020-04-03,2020-03-17
124,6ff7c943-51ae-40bb-adbc-6a449f49b35f,Brian,Desirae,41442,1965,269237.76,218,2020-05-23,2020-02-19
125,0100881f-40f7-40d8-a470-c72ce57c3a3e,Turne,Ekaterina,90915,1913,954922.25,419,2020-04-26,2020-06-16
126,fd8b9663-994c-4a69-9a11-b29bf0d26a9b,Brieta,Fernande,96702,1994,747023.69,134,2020-05-02,2020-06-06
127,9c2ca904-cf8d-493b-99ee-4daa4882e23b,Lenny,Ardys,3340,2014,559149.6,760,2020-05-07,2020-05-19
128,41563472-ce04-4605-a418-cfc06b83fc38,Carbo,Genovera,74791,1926,49824.7,214,2020-04-08,2020-02-12
129,94257b16-01d0-4352-9869-b3c903ccf524,Kauppi,Darci,73817,2017,346679.87,708,2020-05-14,2020-06-08
130,1d2b8806-a092-4767-82fc-d28205d8fd41,Adlare,Mady,53189,1934,462632.03,476,2020-05-15,2020-06-06
131,23cb391f-8023-45ee-b910-8e4d431dabd1,Even,Constance,53292,1939,599700.05,100,2020-04-05,2020-06-05
132,18769e64-c389-45d3-84ed-be5e28cf505f,Allare,Flory,79027,1923,832756.23,964,2020-02-08,2020-05-02
133,d85dba1e-302f-4f41-aee1-c4eb27e5e104,Concha,Oralee,69912,1963,587469.7,617,2020-01-18,2020-06-15
134,2f3d431f-8a63-49b8-b074-307087246c4d,Florina,Doralynne,32473,1908,238021.24,39,2020-06-10,2020-06-18
135,ff6e5849-d5d6-4188-9826-f7a8d9032ed3,Fink,Chrystel,84586,1981,527185.72,321,2020-05-24,2020-06-01
136,a9864a71-ab7b-4040-a470-c06aebf8d714,Bonucci,Ilse,75257,1903,784390.86,883,2020-01-27,2020-04-09
137,cfc017d6-2520-40f5-b8a4-2911d14410ff,Nahum,Morganica,92666,1922,407328.73,282,2020-02-07,2020-05-10
138,9bb2434a-4424-49b7-ba1f-0a56c88a3456,Brieta,Cristine,14855,1927,842207.81,403,2020-01-28,2020-04-18
139,1aef0fe4-95b2-4e92-aed5-50a9be575398,Kenwood,Ana,39561,1998,827854.01,931,2020-06-10,2020-05-02
140,f98e54c9-e151-4838-b859-3e4d22551b49,Gert,Anestassia,28476,2000,755480.98,728,2020-02-27,2020-01-24
141,40fbfa7e-a69d-448d-a0d5-e084f1026298,Rillings,Lizzie,87734,1934,360558.67,700,2020-03-10,2020-03-23
142,ffa41f53-bcf5-4d61-8ed3-3bafb2392b88,Read,Elena,52034,1921,830310.45,345,2020-06-02,2020-02-02
143,10913f64-9e44-4657-9448-d100b7667280,Fry,Barbi,11248,1959,275631.49,842,2020-03-01,2020-04-30
144,7882ce78-8d2f-4fdd-8831-1f8b1632bde0,Anis,Gerianna,31346,1942,356635.89,636,2020-06-18,2020-06-01
