uuid,vinNumber,makerName,modelName,mileage,year,price,zipCode,created,updated
100,3109da94-89af-4f2e-94a1-6259e82fac34,Bethany,Mildrid,34079,2012,445696.5,278,2020-04-02,2020-01-02
101,74b25a39-20be-4fcb-9b87-c6b26618d443,Annabella,Maud,54117,1981,277655.22,207,2020-05-10,2020-06-16
102,86cb4e7d-9817-461d-a58d-e651b1218abd,Adore,Devina,59635,2014,318413.33,710,2020-01-17,2020-04-23
103,d9842945-6cd1-48bc-a1c3-11e8e270b40e,Sawtelle,Binny,39186,1974,783171.25,244,2020-02-10,2020-03-16
104,62f8cfb7-35c3-48b6-a23c-f25e8e9a1027,Mike,Carolina,26752,1940,932199.29,149,2020-05-28,2020-04-20
105,7477d884-6b3d-4a9a-b009-98ca91f2ceff,Alice,Kimberley,44599,1968,641869.38,67,2020-01-30,2020-01-10
106,1fb29349-101d-4f3f-beca-e3dccb5e2146,Dominy,Roz,22852,2016,901365.58,784,2020-04-09,2020-04-28
107,fdddf49a-40f5-4e77-b199-6dea3990bcc6,Suzetta,Nikki,66689,2009,505263.11,717,2020-05-14,2020-01-01
108,810548bb-93a7-43f2-9a55-6688f142d8ec,Chabot,Rosanne,46665,1989,65642.15,973,2020-04-05,2020-01-14
109,2a4b82b8-809c-43db-9565-45a4d2218ffd,Raul,Karlee,38211,1918,671540.66,152,2020-06-15,2020-04-13
110,dee1c4cf-6562-4ffd-a90e-c6b6b582ee14,Lalitta,Chastity,23700,1937,50081.24,704,2020-03-25,2020-03-23
111,fcc99d89-0820-42bb-9b9b-8f40af69178c,Lissi,Fayre,8759,1995,742278.43,35,2020-03-06,2020-03-07
112,0f084fc6-44ee-4870-aaa0-01805a5ea81b,Fancie,Penelopa,44298,1983,511783.32,327,2020-05-14,2020-06-22
113,7e27f790-bb3c-4590-93db-d7b79c3576f7,Rubie,Althea,77551,1982,369674.39,656,2020-05-13,2020-01-13
114,b0b69eb7-53f5-4584-a7ba-6957053aebb6,Redmond,Addia,52804,1965,596857.07,618,2020-06-10,2020-02-29
115,af4b4f8e-cc54-49d5-ba2a-b936a3d95f83,Viddah,Dulcinea,62556,1954,571524.1,462,2020-06-20,2020-03-09
116,821b6309-b8fa-446e-a0c0-623355c083f7,Muriel,Isa,98344,1903,521730.52,208,2020-03-27,2020-05-15
117,e22a16bd-7604-445a-8c76-7e031e59b37a,Tristram,Madalyn,25899,1970,842397.14,828,2020-05-31,2020-03-06
118,58430ac5-bab8-435c-9493-c16820a5cd27,Pitt,Jillayne,27371,1997,481908,64,2020-03-19,2020-03-31
119,6690823a-17fb-47fe-b132-434bd5f9359f,Haymes,Meg,69074,1987,868132.86,227,2020-05-15,2020-05-20
120,339683fd-76d3-4d0d-912a-342b7ada66b8,Prouty,Teddie,33434,1986,277794.96,449,2020-04-14,2020-04-05
121,0baad76e-5131-4a43-819f-8a66a20c829b,Palocz,Kirstin,27459,1942,266270.13,424,2020-06-19,2020-01-11
122,0ef7d1bc-a945-4354-a9f1-6ab8cc1a5c40,Guthrie,Carly,22470,2012,372483.96,722,2020-06-23,2020-02-17
